"Gene_names","Eclass"
"PDGFC","growth factor receptor binding (GO:0070851)"
"PDGFB","growth factor receptor binding (GO:0070851)"
"PDGFA","growth factor receptor binding (GO:0070851)"
"FGF1","growth factor receptor binding (GO:0070851)"
"GATA3","growth factor receptor binding (GO:0070851)"
"FGF2","growth factor receptor binding (GO:0070851)"
"FGF3","growth factor receptor binding (GO:0070851)"
"FGF4","growth factor receptor binding (GO:0070851)"
"FGF5","growth factor receptor binding (GO:0070851)"
"FGF6","growth factor receptor binding (GO:0070851)"
"EFEMP1","growth factor receptor binding (GO:0070851)"
"FGF7","growth factor receptor binding (GO:0070851)"
"FGF8","growth factor receptor binding (GO:0070851)"
"IL36A","growth factor receptor binding (GO:0070851)"
"FGF9","growth factor receptor binding (GO:0070851)"
"IL36B","growth factor receptor binding (GO:0070851)"
"PDGFD","growth factor receptor binding (GO:0070851)"
"IL36RN","growth factor receptor binding (GO:0070851)"
"IL12B","growth factor receptor binding (GO:0070851)"
"IL12A","growth factor receptor binding (GO:0070851)"
"IL6R","growth factor receptor binding (GO:0070851)"
"KL","growth factor receptor binding (GO:0070851)"
"IL11","growth factor receptor binding (GO:0070851)"
"LYN","growth factor receptor binding (GO:0070851)"
"IL10","growth factor receptor binding (GO:0070851)"
"ITGA5","growth factor receptor binding (GO:0070851)"
"VEGFC","growth factor receptor binding (GO:0070851)"
"IRAK4","growth factor receptor binding (GO:0070851)"
"VAV2","growth factor receptor binding (GO:0070851)"
"LINGO1","growth factor receptor binding (GO:0070851)"
"IL3","growth factor receptor binding (GO:0070851)"
"VEGFA","growth factor receptor binding (GO:0070851)"
"VAV3","growth factor receptor binding (GO:0070851)"
"IL2","growth factor receptor binding (GO:0070851)"
"VEGFB","growth factor receptor binding (GO:0070851)"
"IL1A","growth factor receptor binding (GO:0070851)"
"IL5","growth factor receptor binding (GO:0070851)"
"IL1B","growth factor receptor binding (GO:0070851)"
"IL4","growth factor receptor binding (GO:0070851)"
"IL7","growth factor receptor binding (GO:0070851)"
"IL6","growth factor receptor binding (GO:0070851)"
"FER","growth factor receptor binding (GO:0070851)"
"IL9","growth factor receptor binding (GO:0070851)"
"TLR9","growth factor receptor binding (GO:0070851)"
"TLR5","growth factor receptor binding (GO:0070851)"
"MS4A1","growth factor receptor binding (GO:0070851)"
"ARF4","growth factor receptor binding (GO:0070851)"
"SHC1","growth factor receptor binding (GO:0070851)"
"TGFA","growth factor receptor binding (GO:0070851)"
"AREG","growth factor receptor binding (GO:0070851)"
"PTPRJ","growth factor receptor binding (GO:0070851)"
"SNX4","growth factor receptor binding (GO:0070851)"
"SNX2","growth factor receptor binding (GO:0070851)"
"ATXN2","growth factor receptor binding (GO:0070851)"
"ERBB4","growth factor receptor binding (GO:0070851)"
"SNX1","growth factor receptor binding (GO:0070851)"
"IRAK1","growth factor receptor binding (GO:0070851)"
"SOCS5","growth factor receptor binding (GO:0070851)"
"IL37","growth factor receptor binding (GO:0070851)"
"ERAP1","growth factor receptor binding (GO:0070851)"
"DAB2IP","growth factor receptor binding (GO:0070851)"
"EPGN","growth factor receptor binding (GO:0070851)"
"TXLNA","growth factor receptor binding (GO:0070851)"
"GREM1","growth factor receptor binding (GO:0070851)"
"ADAM17","growth factor receptor binding (GO:0070851)"
"HBEGF","growth factor receptor binding (GO:0070851)"
"ECM1","growth factor receptor binding (GO:0070851)"
"SRC","growth factor receptor binding (GO:0070851)"
"IL21","growth factor receptor binding (GO:0070851)"
"ITGB3","growth factor receptor binding (GO:0070851)"
"PTEN","growth factor receptor binding (GO:0070851)"
"ESM1","growth factor receptor binding (GO:0070851)"
"FYN","growth factor receptor binding (GO:0070851)"
"NPTN","growth factor receptor binding (GO:0070851)"
"JAK2","growth factor receptor binding (GO:0070851)"
"UPF1","ATP-dependent helicase activity (GO:0008026)"
"RTEL1-TNFRSF6B","ATP-dependent helicase activity (GO:0008026)"
"ERCC6L2","ATP-dependent helicase activity (GO:0008026)"
"FBXO18","ATP-dependent helicase activity (GO:0008026)"
"MRE11A","ATP-dependent helicase activity (GO:0008026)"
"RECQL","ATP-dependent helicase activity (GO:0008026)"
"DDX31","ATP-dependent helicase activity (GO:0008026)"
"GTF2F2","ATP-dependent helicase activity (GO:0008026)"
"DHX40","ATP-dependent helicase activity (GO:0008026)"
"DDX39B","ATP-dependent helicase activity (GO:0008026)"
"MCM4","ATP-dependent helicase activity (GO:0008026)"
"MCM6","ATP-dependent helicase activity (GO:0008026)"
"MCM7","ATP-dependent helicase activity (GO:0008026)"
"DDX49","ATP-dependent helicase activity (GO:0008026)"
"DDX3X","ATP-dependent helicase activity (GO:0008026)"
"DDX3Y","ATP-dependent helicase activity (GO:0008026)"
"DHX8","ATP-dependent helicase activity (GO:0008026)"
"DDX11L8","ATP-dependent helicase activity (GO:0008026)"
"DHX9","ATP-dependent helicase activity (GO:0008026)"
"DDX47","ATP-dependent helicase activity (GO:0008026)"
"CETN1","ATP-dependent helicase activity (GO:0008026)"
"CETN2","ATP-dependent helicase activity (GO:0008026)"
"PIF1","ATP-dependent helicase activity (GO:0008026)"
"DDX46","ATP-dependent helicase activity (GO:0008026)"
"DDX43","ATP-dependent helicase activity (GO:0008026)"
"CHD6","ATP-dependent helicase activity (GO:0008026)"
"IGHMBP2","ATP-dependent helicase activity (GO:0008026)"
"CHD5","ATP-dependent helicase activity (GO:0008026)"
"CHD4","ATP-dependent helicase activity (GO:0008026)"
"DDX42","ATP-dependent helicase activity (GO:0008026)"
"CHD3","ATP-dependent helicase activity (GO:0008026)"
"RTEL1","ATP-dependent helicase activity (GO:0008026)"
"CHD2","ATP-dependent helicase activity (GO:0008026)"
"CHD1","ATP-dependent helicase activity (GO:0008026)"
"RUVBL1","ATP-dependent helicase activity (GO:0008026)"
"DHX30","ATP-dependent helicase activity (GO:0008026)"
"DHX33","ATP-dependent helicase activity (GO:0008026)"
"DHX35","ATP-dependent helicase activity (GO:0008026)"
"DHX36","ATP-dependent helicase activity (GO:0008026)"
"MOV10L1","ATP-dependent helicase activity (GO:0008026)"
"RUVBL2","ATP-dependent helicase activity (GO:0008026)"
"NBN","ATP-dependent helicase activity (GO:0008026)"
"DHX38","ATP-dependent helicase activity (GO:0008026)"
"ASCC3","ATP-dependent helicase activity (GO:0008026)"
"DDX18","ATP-dependent helicase activity (GO:0008026)"
"DDX17","ATP-dependent helicase activity (GO:0008026)"
"XRCC5","ATP-dependent helicase activity (GO:0008026)"
"XRCC6","ATP-dependent helicase activity (GO:0008026)"
"DDX56","ATP-dependent helicase activity (GO:0008026)"
"CHD1L","ATP-dependent helicase activity (GO:0008026)"
"DDX54","ATP-dependent helicase activity (GO:0008026)"
"DDX10","ATP-dependent helicase activity (GO:0008026)"
"DDX55","ATP-dependent helicase activity (GO:0008026)"
"DDX11","ATP-dependent helicase activity (GO:0008026)"
"DDX53","ATP-dependent helicase activity (GO:0008026)"
"GTF2H4","ATP-dependent helicase activity (GO:0008026)"
"DDX51","ATP-dependent helicase activity (GO:0008026)"
"RAD50","ATP-dependent helicase activity (GO:0008026)"
"SUPV3L1","ATP-dependent helicase activity (GO:0008026)"
"ERCC2","ATP-dependent helicase activity (GO:0008026)"
"ERCC3","ATP-dependent helicase activity (GO:0008026)"
"DHX29","ATP-dependent helicase activity (GO:0008026)"
"SKIV2L","ATP-dependent helicase activity (GO:0008026)"
"SNRNP200","ATP-dependent helicase activity (GO:0008026)"
"EIF4A3","ATP-dependent helicase activity (GO:0008026)"
"EIF4A2","ATP-dependent helicase activity (GO:0008026)"
"DDX27","ATP-dependent helicase activity (GO:0008026)"
"DDX6","ATP-dependent helicase activity (GO:0008026)"
"EIF4A1","ATP-dependent helicase activity (GO:0008026)"
"BLM","ATP-dependent helicase activity (GO:0008026)"
"DDX5","ATP-dependent helicase activity (GO:0008026)"
"DDX25","ATP-dependent helicase activity (GO:0008026)"
"DDX4","ATP-dependent helicase activity (GO:0008026)"
"DDX23","ATP-dependent helicase activity (GO:0008026)"
"DDX12P","ATP-dependent helicase activity (GO:0008026)"
"DDX1","ATP-dependent helicase activity (GO:0008026)"
"DDX24","ATP-dependent helicase activity (GO:0008026)"
"DDX21","ATP-dependent helicase activity (GO:0008026)"
"DDX20","ATP-dependent helicase activity (GO:0008026)"
"TTF2","ATP-dependent helicase activity (GO:0008026)"
"RECQL5","ATP-dependent helicase activity (GO:0008026)"
"BRIP1","ATP-dependent helicase activity (GO:0008026)"
"RECQL4","ATP-dependent helicase activity (GO:0008026)"
"WRN","ATP-dependent helicase activity (GO:0008026)"
"HELB","ATP-dependent helicase activity (GO:0008026)"
"DHX57","ATP-dependent helicase activity (GO:0008026)"
"G3BP1","ATP-dependent helicase activity (GO:0008026)"
"DHX15","ATP-dependent helicase activity (GO:0008026)"
"DHX16","ATP-dependent helicase activity (GO:0008026)"
"STARD9","tubulin binding (GO:0015631)"
"MTUS2","tubulin binding (GO:0015631)"
"IFT81","tubulin binding (GO:0015631)"
"EML1","tubulin binding (GO:0015631)"
"PEX14","tubulin binding (GO:0015631)"
"EML2","tubulin binding (GO:0015631)"
"APC","tubulin binding (GO:0015631)"
"KATNAL2","tubulin binding (GO:0015631)"
"FEZ1","tubulin binding (GO:0015631)"
"KATNAL1","tubulin binding (GO:0015631)"
"CCDC87","tubulin binding (GO:0015631)"
"KIF20A","tubulin binding (GO:0015631)"
"KIF20B","tubulin binding (GO:0015631)"
"PPP1R42","tubulin binding (GO:0015631)"
"NEIL2","tubulin binding (GO:0015631)"
"MAP10","tubulin binding (GO:0015631)"
"TPGS1","tubulin binding (GO:0015631)"
"UXT","tubulin binding (GO:0015631)"
"RACGAP1","tubulin binding (GO:0015631)"
"IFT74","tubulin binding (GO:0015631)"
"SNCG","tubulin binding (GO:0015631)"
"DAG1","tubulin binding (GO:0015631)"
"SNCA","tubulin binding (GO:0015631)"
"RAB11FIP5","tubulin binding (GO:0015631)"
"SNCB","tubulin binding (GO:0015631)"
"GABARAPL2","tubulin binding (GO:0015631)"
"GABARAPL1","tubulin binding (GO:0015631)"
"PLK1","tubulin binding (GO:0015631)"
"INO80","tubulin binding (GO:0015631)"
"TERF1","tubulin binding (GO:0015631)"
"CCDC88A","tubulin binding (GO:0015631)"
"CEP57L1","tubulin binding (GO:0015631)"
"CCSER2","tubulin binding (GO:0015631)"
"CRYAB","tubulin binding (GO:0015631)"
"GABARAP","tubulin binding (GO:0015631)"
"MACF1","tubulin binding (GO:0015631)"
"MTCL1","tubulin binding (GO:0015631)"
"NUMA1","tubulin binding (GO:0015631)"
"STMN3","tubulin binding (GO:0015631)"
"DIXDC1","tubulin binding (GO:0015631)"
"SLC6A2","tubulin binding (GO:0015631)"
"HSPH1","tubulin binding (GO:0015631)"
"GJA1","tubulin binding (GO:0015631)"
"BLOC1S2","tubulin binding (GO:0015631)"
"STMN1","tubulin binding (GO:0015631)"
"FAM110C","tubulin binding (GO:0015631)"
"CDK5RAP2","tubulin binding (GO:0015631)"
"RCC2","tubulin binding (GO:0015631)"
"KIF21A","tubulin binding (GO:0015631)"
"KIF21B","tubulin binding (GO:0015631)"
"PIFO","tubulin binding (GO:0015631)"
"OFD1","tubulin binding (GO:0015631)"
"C6ORF182","tubulin binding (GO:0015631)"
"CRIPT","tubulin binding (GO:0015631)"
"SIRT2","tubulin binding (GO:0015631)"
"KIF7","tubulin binding (GO:0015631)"
"NME1","tubulin binding (GO:0015631)"
"KIF6","tubulin binding (GO:0015631)"
"LRPPRC","tubulin binding (GO:0015631)"
"CENPE","tubulin binding (GO:0015631)"
"TTLL6","tubulin binding (GO:0015631)"
"TPPP3","tubulin binding (GO:0015631)"
"KIF9","tubulin binding (GO:0015631)"
"RAD51D","tubulin binding (GO:0015631)"
"TTLL4","tubulin binding (GO:0015631)"
"MAPT","tubulin binding (GO:0015631)"
"CENPJ","tubulin binding (GO:0015631)"
"PAFAH1B1","tubulin binding (GO:0015631)"
"ARHGEF2","tubulin binding (GO:0015631)"
"ALDOA","tubulin binding (GO:0015631)"
"RANBP10","tubulin binding (GO:0015631)"
"RABGAP1","tubulin binding (GO:0015631)"
"SKA1","tubulin binding (GO:0015631)"
"CETN1","tubulin binding (GO:0015631)"
"KIF11","tubulin binding (GO:0015631)"
"CETN2","tubulin binding (GO:0015631)"
"CETN3","tubulin binding (GO:0015631)"
"KIF15","tubulin binding (GO:0015631)"
"KIF14","tubulin binding (GO:0015631)"
"BRCA1","tubulin binding (GO:0015631)"
"GPAA1","tubulin binding (GO:0015631)"
"KIF12","tubulin binding (GO:0015631)"
"BRCA2","tubulin binding (GO:0015631)"
"KIF19","tubulin binding (GO:0015631)"
"KIF17","tubulin binding (GO:0015631)"
"SKA2","tubulin binding (GO:0015631)"
"KIF1A","tubulin binding (GO:0015631)"
"MAP4","tubulin binding (GO:0015631)"
"MAP2","tubulin binding (GO:0015631)"
"EMD","tubulin binding (GO:0015631)"
"KIF1C","tubulin binding (GO:0015631)"
"MAP6","tubulin binding (GO:0015631)"
"KIF1B","tubulin binding (GO:0015631)"
"DYNC1I1","tubulin binding (GO:0015631)"
"CEP57","tubulin binding (GO:0015631)"
"BBS4","tubulin binding (GO:0015631)"
"APC2","tubulin binding (GO:0015631)"
"PACRG","tubulin binding (GO:0015631)"
"NDE1","tubulin binding (GO:0015631)"
"MAP1S","tubulin binding (GO:0015631)"
"MAP1A","tubulin binding (GO:0015631)"
"AGBL5","tubulin binding (GO:0015631)"
"CLIP3","tubulin binding (GO:0015631)"
"CLIP2","tubulin binding (GO:0015631)"
"CLIP1","tubulin binding (GO:0015631)"
"KIF26A","tubulin binding (GO:0015631)"
"KIF26B","tubulin binding (GO:0015631)"
"AGBL1","tubulin binding (GO:0015631)"
"AGBL4","tubulin binding (GO:0015631)"
"MAP1B","tubulin binding (GO:0015631)"
"MAPRE2","tubulin binding (GO:0015631)"
"MAPRE3","tubulin binding (GO:0015631)"
"MAPRE1","tubulin binding (GO:0015631)"
"PHF6","tubulin binding (GO:0015631)"
"OGG1","tubulin binding (GO:0015631)"
"TRAF3IP1","tubulin binding (GO:0015631)"
"HTT","tubulin binding (GO:0015631)"
"GLI1","tubulin binding (GO:0015631)"
"KIF13A","tubulin binding (GO:0015631)"
"KIF13B","tubulin binding (GO:0015631)"
"NEFM","tubulin binding (GO:0015631)"
"ZNF207","tubulin binding (GO:0015631)"
"NUSAP1","tubulin binding (GO:0015631)"
"NEFH","tubulin binding (GO:0015631)"
"AGTPBP1","tubulin binding (GO:0015631)"
"TRPV4","tubulin binding (GO:0015631)"
"MID1","tubulin binding (GO:0015631)"
"MID2","tubulin binding (GO:0015631)"
"STIM1","tubulin binding (GO:0015631)"
"KIF16B","tubulin binding (GO:0015631)"
"KIF4B","tubulin binding (GO:0015631)"
"KIF4A","tubulin binding (GO:0015631)"
"TUBGCP6","tubulin binding (GO:0015631)"
"ARL8A","tubulin binding (GO:0015631)"
"B9D2","tubulin binding (GO:0015631)"
"SBDS","tubulin binding (GO:0015631)"
"TUBGCP5","tubulin binding (GO:0015631)"
"S100A9","tubulin binding (GO:0015631)"
"ARL8B","tubulin binding (GO:0015631)"
"S100A8","tubulin binding (GO:0015631)"
"RGS14","tubulin binding (GO:0015631)"
"KATNB1","tubulin binding (GO:0015631)"
"CASC1","tubulin binding (GO:0015631)"
"JAKMIP2","tubulin binding (GO:0015631)"
"JAKMIP1","tubulin binding (GO:0015631)"
"NDRG1","tubulin binding (GO:0015631)"
"JAKMIP3","tubulin binding (GO:0015631)"
"KIF5A","tubulin binding (GO:0015631)"
"BCL2L11","tubulin binding (GO:0015631)"
"KIF5C","tubulin binding (GO:0015631)"
"CAPN6","tubulin binding (GO:0015631)"
"KIF5B","tubulin binding (GO:0015631)"
"CLASP1","tubulin binding (GO:0015631)"
"CHP1","tubulin binding (GO:0015631)"
"RAE1","tubulin binding (GO:0015631)"
"GAS2L2","tubulin binding (GO:0015631)"
"GAS2L3","tubulin binding (GO:0015631)"
"CLASP2","tubulin binding (GO:0015631)"
"GAS2L1","tubulin binding (GO:0015631)"
"KIF22","tubulin binding (GO:0015631)"
"PRNP","tubulin binding (GO:0015631)"
"TBCD","tubulin binding (GO:0015631)"
"KIF25","tubulin binding (GO:0015631)"
"RITA1","tubulin binding (GO:0015631)"
"KIF24","tubulin binding (GO:0015631)"
"KIF23","tubulin binding (GO:0015631)"
"WASH3P","tubulin binding (GO:0015631)"
"KIF27","tubulin binding (GO:0015631)"
"KIF18A","tubulin binding (GO:0015631)"
"REEP1","tubulin binding (GO:0015631)"
"KIF18B","tubulin binding (GO:0015631)"
"KIFC3","tubulin binding (GO:0015631)"
"KIF2B","tubulin binding (GO:0015631)"
"KIF2A","tubulin binding (GO:0015631)"
"KIFC2","tubulin binding (GO:0015631)"
"REEP4","tubulin binding (GO:0015631)"
"KIFC1","tubulin binding (GO:0015631)"
"BIRC5","tubulin binding (GO:0015631)"
"KIF2C","tubulin binding (GO:0015631)"
"FGF13","tubulin binding (GO:0015631)"
"BRSK1","tubulin binding (GO:0015631)"
"KIF28P","tubulin binding (GO:0015631)"
"TUBGCP3","tubulin binding (GO:0015631)"
"FMR1","tubulin binding (GO:0015631)"
"ARL3","tubulin binding (GO:0015631)"
"WASH2P","tubulin binding (GO:0015631)"
"CAMSAP1","tubulin binding (GO:0015631)"
"CAMSAP2","tubulin binding (GO:0015631)"
"CAMSAP3","tubulin binding (GO:0015631)"
"TPR","tubulin binding (GO:0015631)"
"KIF3C","tubulin binding (GO:0015631)"
"RGS2","tubulin binding (GO:0015631)"
"KIF3B","tubulin binding (GO:0015631)"
"FNTA","tubulin binding (GO:0015631)"
"NDN","tubulin binding (GO:0015631)"
"KIF3A","tubulin binding (GO:0015631)"
"NDEL1","tubulin binding (GO:0015631)"
"WASH1","tubulin binding (GO:0015631)"
"CEP350","tubulin binding (GO:0015631)"
"MARK4","tubulin binding (GO:0015631)"
"SYBU","tubulin binding (GO:0015631)"
"SUN2","tubulin binding (GO:0015631)"
"CAV3","tubulin binding (GO:0015631)"
"SGIP1","tubulin binding (GO:0015631)"
"SMRP1","tubulin binding (GO:0015631)"
"DNM2","tubulin binding (GO:0015631)"
"ARL4C","tubulin binding (GO:0015631)"
"HOOK3","tubulin binding (GO:0015631)"
"SPATC1","tubulin binding (GO:0015631)"
"MAP6D1","tubulin binding (GO:0015631)"
"TRIM54","tubulin binding (GO:0015631)"
"B4GALT1","tubulin binding (GO:0015631)"
"WHAMM","tubulin binding (GO:0015631)"
"MAST2","tubulin binding (GO:0015631)"
"LRRK2","tubulin binding (GO:0015631)"
"NCALD","tubulin binding (GO:0015631)"
"WASH4P","tubulin binding (GO:0015631)"
"CHD4","tubulin binding (GO:0015631)"
"KLC1","tubulin binding (GO:0015631)"
"SPAST","tubulin binding (GO:0015631)"
"KLC3","tubulin binding (GO:0015631)"
"CAPZB","tubulin binding (GO:0015631)"
"TPPP","tubulin binding (GO:0015631)"
"CEP290","tubulin binding (GO:0015631)"
"BCAS3","tubulin binding (GO:0015631)"
"SPAG8","tubulin binding (GO:0015631)"
"DST","tubulin binding (GO:0015631)"
"KATNA1","tubulin binding (GO:0015631)"
"PRC1","tubulin binding (GO:0015631)"
"MLPH","tubulin binding (GO:0015631)"
"PSRC1","tubulin binding (GO:0015631)"
"RP1","tubulin binding (GO:0015631)"
"VAPB","tubulin binding (GO:0015631)"
"VPS41","tubulin binding (GO:0015631)"
"DCX","tubulin binding (GO:0015631)"
"GAPDH","tubulin binding (GO:0015631)"
"HDAC6","tubulin binding (GO:0015631)"
"WASH6P","tubulin binding (GO:0015631)"
"POLB","tubulin binding (GO:0015631)"
"KRIT1","tubulin binding (GO:0015631)"
"FYN","tubulin binding (GO:0015631)"
"MAP3K3","receptor signaling protein activity (GO:0005057)"
"ACVR1","receptor signaling protein activity (GO:0005057)"
"MAP3K4","receptor signaling protein activity (GO:0005057)"
"IL4R","receptor signaling protein activity (GO:0005057)"
"MAP3K1","receptor signaling protein activity (GO:0005057)"
"TGFB2","receptor signaling protein activity (GO:0005057)"
"MAP3K2","receptor signaling protein activity (GO:0005057)"
"TYROBP","receptor signaling protein activity (GO:0005057)"
"MAPK15","receptor signaling protein activity (GO:0005057)"
"MAPK13","receptor signaling protein activity (GO:0005057)"
"DCLK1","receptor signaling protein activity (GO:0005057)"
"MAPK14","receptor signaling protein activity (GO:0005057)"
"MAPK11","receptor signaling protein activity (GO:0005057)"
"DOK1","receptor signaling protein activity (GO:0005057)"
"MOS","receptor signaling protein activity (GO:0005057)"
"DOK2","receptor signaling protein activity (GO:0005057)"
"MAPK12","receptor signaling protein activity (GO:0005057)"
"MAPK10","receptor signaling protein activity (GO:0005057)"
"DOK4","receptor signaling protein activity (GO:0005057)"
"DOK5","receptor signaling protein activity (GO:0005057)"
"CASS4","receptor signaling protein activity (GO:0005057)"
"NSMAF","receptor signaling protein activity (GO:0005057)"
"RAF1","receptor signaling protein activity (GO:0005057)"
"ZAK","receptor signaling protein activity (GO:0005057)"
"RGS14","receptor signaling protein activity (GO:0005057)"
"IFITM1","receptor signaling protein activity (GO:0005057)"
"ARAF","receptor signaling protein activity (GO:0005057)"
"EGFR","receptor signaling protein activity (GO:0005057)"
"FLRT3","receptor signaling protein activity (GO:0005057)"
"FLRT1","receptor signaling protein activity (GO:0005057)"
"FLRT2","receptor signaling protein activity (GO:0005057)"
"PLCE1","receptor signaling protein activity (GO:0005057)"
"KDR","receptor signaling protein activity (GO:0005057)"
"PIP4K2B","receptor signaling protein activity (GO:0005057)"
"MAP3K9","receptor signaling protein activity (GO:0005057)"
"MAP3K7","receptor signaling protein activity (GO:0005057)"
"MAP3K8","receptor signaling protein activity (GO:0005057)"
"MAP3K5","receptor signaling protein activity (GO:0005057)"
"KCNH1","receptor signaling protein activity (GO:0005057)"
"KCNH2","receptor signaling protein activity (GO:0005057)"
"MAP3K6","receptor signaling protein activity (GO:0005057)"
"SMAD3","receptor signaling protein activity (GO:0005057)"
"INSR","receptor signaling protein activity (GO:0005057)"
"SMAD2","receptor signaling protein activity (GO:0005057)"
"SMAD5","receptor signaling protein activity (GO:0005057)"
"DAXX","receptor signaling protein activity (GO:0005057)"
"SMAD4","receptor signaling protein activity (GO:0005057)"
"MAP2K1","receptor signaling protein activity (GO:0005057)"
"SMAD1","receptor signaling protein activity (GO:0005057)"
"SMAD7","receptor signaling protein activity (GO:0005057)"
"SMAD6","receptor signaling protein activity (GO:0005057)"
"SMAD9","receptor signaling protein activity (GO:0005057)"
"TBL3","receptor signaling protein activity (GO:0005057)"
"MAP3K10","receptor signaling protein activity (GO:0005057)"
"PDCL","receptor signaling protein activity (GO:0005057)"
"MAP3K11","receptor signaling protein activity (GO:0005057)"
"MAP3K14","receptor signaling protein activity (GO:0005057)"
"MAP3K15","receptor signaling protein activity (GO:0005057)"
"GNAZ","receptor signaling protein activity (GO:0005057)"
"MAP3K12","receptor signaling protein activity (GO:0005057)"
"MAP3K13","receptor signaling protein activity (GO:0005057)"
"AMHR2","receptor signaling protein activity (GO:0005057)"
"MLK4","receptor signaling protein activity (GO:0005057)"
"RAPGEFL1","receptor signaling protein activity (GO:0005057)"
"NLK","receptor signaling protein activity (GO:0005057)"
"STK10","receptor signaling protein activity (GO:0005057)"
"PPP4C","receptor signaling protein activity (GO:0005057)"
"BAG4","receptor signaling protein activity (GO:0005057)"
"BAG1","receptor signaling protein activity (GO:0005057)"
"CD19","receptor signaling protein activity (GO:0005057)"
"PLCG1","receptor signaling protein activity (GO:0005057)"
"CNTLN","receptor signaling protein activity (GO:0005057)"
"LYN","receptor signaling protein activity (GO:0005057)"
"RIPK3","receptor signaling protein activity (GO:0005057)"
"BRAF","receptor signaling protein activity (GO:0005057)"
"TGFBR1","receptor signaling protein activity (GO:0005057)"
"TGFBR2","receptor signaling protein activity (GO:0005057)"
"ACVR2B","receptor signaling protein activity (GO:0005057)"
"ACVR2A","receptor signaling protein activity (GO:0005057)"
"NCR1","receptor signaling protein activity (GO:0005057)"
"BMPR1A","receptor signaling protein activity (GO:0005057)"
"BMPR1B","receptor signaling protein activity (GO:0005057)"
"ALK","receptor signaling protein activity (GO:0005057)"
"ACVRL1","receptor signaling protein activity (GO:0005057)"
"BMPR2","receptor signaling protein activity (GO:0005057)"
"ARF1","receptor signaling protein activity (GO:0005057)"
"ITPR2","receptor signaling protein activity (GO:0005057)"
"ITPR3","receptor signaling protein activity (GO:0005057)"
"ADRB1","receptor signaling protein activity (GO:0005057)"
"CD3E","receptor signaling protein activity (GO:0005057)"
"ITPR1","receptor signaling protein activity (GO:0005057)"
"ERBB4","receptor signaling protein activity (GO:0005057)"
"ERBB2","receptor signaling protein activity (GO:0005057)"
"STK39","receptor signaling protein activity (GO:0005057)"
"IRAK1","receptor signaling protein activity (GO:0005057)"
"KCNH3","receptor signaling protein activity (GO:0005057)"
"KCNH4","receptor signaling protein activity (GO:0005057)"
"KCNH5","receptor signaling protein activity (GO:0005057)"
"MAP4K1","receptor signaling protein activity (GO:0005057)"
"SYK","receptor signaling protein activity (GO:0005057)"
"KCNH8","receptor signaling protein activity (GO:0005057)"
"OXSR1","receptor signaling protein activity (GO:0005057)"
"TRAIP","receptor signaling protein activity (GO:0005057)"
"NGF","receptor signaling protein activity (GO:0005057)"
"TIAM1","receptor signaling protein activity (GO:0005057)"
"ADCYAP1","receptor signaling protein activity (GO:0005057)"
"TIAM2","receptor signaling protein activity (GO:0005057)"
