"Egenes","Eclass"
"C6ORF57","extracellular region (GO:0005576)"
"CSN1S1","extracellular region (GO:0005576)"
"HCRT","extracellular region (GO:0005576)"
"ODAM","extracellular region (GO:0005576)"
"P06309","extracellular region (GO:0005576)"
"WNT7A","extracellular region (GO:0005576)"
"ADAM12","extracellular region (GO:0005576)"
"WNT7B","extracellular region (GO:0005576)"
"BGN","extracellular region (GO:0005576)"
"CNPY4","extracellular region (GO:0005576)"
"P06310","extracellular region (GO:0005576)"
"P06311","extracellular region (GO:0005576)"
"P06314","extracellular region (GO:0005576)"
"P06313","extracellular region (GO:0005576)"
"APCS","extracellular region (GO:0005576)"
"P06316","extracellular region (GO:0005576)"
"P06315","extracellular region (GO:0005576)"
"CRB1","extracellular region (GO:0005576)"
"PGLYRP4","extracellular region (GO:0005576)"
"P06318","extracellular region (GO:0005576)"
"PGLYRP3","extracellular region (GO:0005576)"
"SFTA2","extracellular region (GO:0005576)"
"P06317","extracellular region (GO:0005576)"
"P06319","extracellular region (GO:0005576)"
"TPSD1","extracellular region (GO:0005576)"
"ADAM23","extracellular region (GO:0005576)"
"ADAM28","extracellular region (GO:0005576)"
"AGR3","extracellular region (GO:0005576)"
"AGR2","extracellular region (GO:0005576)"
"PGLYRP1","extracellular region (GO:0005576)"
"APOA1BP","extracellular region (GO:0005576)"
"LRCH3","extracellular region (GO:0005576)"
"IGKV1-5","extracellular region (GO:0005576)"
"IL6ST","extracellular region (GO:0005576)"
"AGRN","extracellular region (GO:0005576)"
"IL1RAP","extracellular region (GO:0005576)"
"HSP90B1","extracellular region (GO:0005576)"
"SPP2","extracellular region (GO:0005576)"
"SPP1","extracellular region (GO:0005576)"
"IFNA14","extracellular region (GO:0005576)"
"IFNA16","extracellular region (GO:0005576)"
"IFNA17","extracellular region (GO:0005576)"
"FST","extracellular region (GO:0005576)"
"LY86","extracellular region (GO:0005576)"
"CES4A","extracellular region (GO:0005576)"
"IGSF10","extracellular region (GO:0005576)"
"HPSE","extracellular region (GO:0005576)"
"LCN2","extracellular region (GO:0005576)"
"LCN6","extracellular region (GO:0005576)"
"IFNA10","extracellular region (GO:0005576)"
"SHBG","extracellular region (GO:0005576)"
"LY6K","extracellular region (GO:0005576)"
"COL17A1","extracellular region (GO:0005576)"
"OLFML2B","extracellular region (GO:0005576)"
"MMP20","extracellular region (GO:0005576)"
"CES5A","extracellular region (GO:0005576)"
"OLFML2A","extracellular region (GO:0005576)"
"MMP21","extracellular region (GO:0005576)"
"EFEMP1","extracellular region (GO:0005576)"
"EFEMP2","extracellular region (GO:0005576)"
"IBSP","extracellular region (GO:0005576)"
"KIR3DX1","extracellular region (GO:0005576)"
"IFNA21","extracellular region (GO:0005576)"
"COL26A1","extracellular region (GO:0005576)"
"NRG1","extracellular region (GO:0005576)"
"NRG2","extracellular region (GO:0005576)"
"NRG3","extracellular region (GO:0005576)"
"TNFRSF1A","extracellular region (GO:0005576)"
"TNFRSF1B","extracellular region (GO:0005576)"
"NRG4","extracellular region (GO:0005576)"
"OGN","extracellular region (GO:0005576)"
"PCCA","extracellular region (GO:0005576)"
"SPACA3","extracellular region (GO:0005576)"
"SPACA5","extracellular region (GO:0005576)"
"SPACA7","extracellular region (GO:0005576)"
"TNFRSF25","extracellular region (GO:0005576)"
"LCN9","extracellular region (GO:0005576)"
"LCN8","extracellular region (GO:0005576)"
"BMP10","extracellular region (GO:0005576)"
"LEAP2","extracellular region (GO:0005576)"
"LY96","extracellular region (GO:0005576)"
"SPATA6","extracellular region (GO:0005576)"
"ADAMTS14","extracellular region (GO:0005576)"
"APELA","extracellular region (GO:0005576)"
"TNFRSF18","extracellular region (GO:0005576)"
"ACPL2","extracellular region (GO:0005576)"
"GZMA","extracellular region (GO:0005576)"
"CTRB2","extracellular region (GO:0005576)"
"RNASET2","extracellular region (GO:0005576)"
"GZMK","extracellular region (GO:0005576)"
"GZMM","extracellular region (GO:0005576)"
"LPAL2","extracellular region (GO:0005576)"
"CTRB1","extracellular region (GO:0005576)"
"C1R","extracellular region (GO:0005576)"
"C1S","extracellular region (GO:0005576)"
"PTEN","extracellular region (GO:0005576)"
"PRADC1","extracellular region (GO:0005576)"
"MBL2","extracellular region (GO:0005576)"
"ACTN4","extracellular region (GO:0005576)"
"ACTN2","extracellular region (GO:0005576)"
"ACTN1","extracellular region (GO:0005576)"
"APLN","extracellular region (GO:0005576)"
"SST","extracellular region (GO:0005576)"
"UNQ6190","extracellular region (GO:0005576)"
"CRISPLD2","extracellular region (GO:0005576)"
"KCP","extracellular region (GO:0005576)"
"CRISPLD1","extracellular region (GO:0005576)"
"ITGBL1","extracellular region (GO:0005576)"
"PTH2","extracellular region (GO:0005576)"
"C4A","extracellular region (GO:0005576)"
"C4B","extracellular region (GO:0005576)"
"CCDC70","extracellular region (GO:0005576)"
"KDR","extracellular region (GO:0005576)"
"CER1","extracellular region (GO:0005576)"
"RTBDN","extracellular region (GO:0005576)"
"OMD","extracellular region (GO:0005576)"
"PPBP","extracellular region (GO:0005576)"
"IGF1","extracellular region (GO:0005576)"
"IGF2","extracellular region (GO:0005576)"
"BTD","extracellular region (GO:0005576)"
"BTC","extracellular region (GO:0005576)"
"WFDC9","extracellular region (GO:0005576)"
"CETP","extracellular region (GO:0005576)"
"WFDC8","extracellular region (GO:0005576)"
"HHIP","extracellular region (GO:0005576)"
"CES1P1","extracellular region (GO:0005576)"
"WFDC2","extracellular region (GO:0005576)"
"WFDC5","extracellular region (GO:0005576)"
"WFDC6","extracellular region (GO:0005576)"
"WFDC3","extracellular region (GO:0005576)"
"IL36A","extracellular region (GO:0005576)"
"IL36B","extracellular region (GO:0005576)"
"TNFSF11","extracellular region (GO:0005576)"
"REG4","extracellular region (GO:0005576)"
"APOE","extracellular region (GO:0005576)"
"TNFSF10","extracellular region (GO:0005576)"
"APOF","extracellular region (GO:0005576)"
"APOD","extracellular region (GO:0005576)"
"APOB","extracellular region (GO:0005576)"
"SFTPB","extracellular region (GO:0005576)"
"IL11","extracellular region (GO:0005576)"
"SFTPC","extracellular region (GO:0005576)"
"GABBR1","extracellular region (GO:0005576)"
"IL15","extracellular region (GO:0005576)"
"IL13","extracellular region (GO:0005576)"
"SFTPD","extracellular region (GO:0005576)"
"FSHB","extracellular region (GO:0005576)"
"IL19","extracellular region (GO:0005576)"
"VEGFC","extracellular region (GO:0005576)"
"IL18","extracellular region (GO:0005576)"
"VEGFA","extracellular region (GO:0005576)"
"VEGFB","extracellular region (GO:0005576)"
"IL1A","extracellular region (GO:0005576)"
"IL1B","extracellular region (GO:0005576)"
"KITLG","extracellular region (GO:0005576)"
"CFHR2","extracellular region (GO:0005576)"
"CFHR5","extracellular region (GO:0005576)"
"CFHR4","extracellular region (GO:0005576)"
"IGHE","extracellular region (GO:0005576)"
"CALU","extracellular region (GO:0005576)"
"GNRH2","extracellular region (GO:0005576)"
"CALR","extracellular region (GO:0005576)"
"GNRH1","extracellular region (GO:0005576)"
"REG3G","extracellular region (GO:0005576)"
"C8A","extracellular region (GO:0005576)"
"C8B","extracellular region (GO:0005576)"
"IGSF21","extracellular region (GO:0005576)"
"C8G","extracellular region (GO:0005576)"
"PDZD11","extracellular region (GO:0005576)"
"IL37","extracellular region (GO:0005576)"
"IGIP","extracellular region (GO:0005576)"
"PRSS3P2","extracellular region (GO:0005576)"
"GAL","extracellular region (GO:0005576)"
"EPGN","extracellular region (GO:0005576)"
"SEMG1","extracellular region (GO:0005576)"
"PLA2R1","extracellular region (GO:0005576)"
"AGGF1","extracellular region (GO:0005576)"
"IL22","extracellular region (GO:0005576)"
"DHRS13","extracellular region (GO:0005576)"
"NRP2","extracellular region (GO:0005576)"
"IL20","extracellular region (GO:0005576)"
"DHRS11","extracellular region (GO:0005576)"
"MTRNR2L1","extracellular region (GO:0005576)"
"DEFB108P1","extracellular region (GO:0005576)"
"MTRNR2L6","extracellular region (GO:0005576)"
"MTRNR2L7","extracellular region (GO:0005576)"
"MTRNR2L8","extracellular region (GO:0005576)"
"MTRNR2L9","extracellular region (GO:0005576)"
"MTRNR2L2","extracellular region (GO:0005576)"
"MTRNR2L3","extracellular region (GO:0005576)"
"MTRNR2L4","extracellular region (GO:0005576)"
"MTRNR2L5","extracellular region (GO:0005576)"
"DMBT1","extracellular region (GO:0005576)"
"FAM3C","extracellular region (GO:0005576)"
"FAM3B","extracellular region (GO:0005576)"
"ENPP5","extracellular region (GO:0005576)"
"FAM3D","extracellular region (GO:0005576)"
"ENPP6","extracellular region (GO:0005576)"
"SPINK5","extracellular region (GO:0005576)"
"SPINK4","extracellular region (GO:0005576)"
"SPINK2","extracellular region (GO:0005576)"
"SPINK9","extracellular region (GO:0005576)"
"SPINK8","extracellular region (GO:0005576)"
"FAM3A","extracellular region (GO:0005576)"
"SPINK7","extracellular region (GO:0005576)"
"RARRES2","extracellular region (GO:0005576)"
"SPINK6","extracellular region (GO:0005576)"
"OSM","extracellular region (GO:0005576)"
"GCG","extracellular region (GO:0005576)"
"MUC3A","extracellular region (GO:0005576)"
"PPIA","extracellular region (GO:0005576)"
"LYG2","extracellular region (GO:0005576)"
"LYG1","extracellular region (GO:0005576)"
"SPINK13","extracellular region (GO:0005576)"
"SPINK14","extracellular region (GO:0005576)"
"HHIPL2","extracellular region (GO:0005576)"
"CNTN4","extracellular region (GO:0005576)"
"HHIPL1","extracellular region (GO:0005576)"
"LOXL1","extracellular region (GO:0005576)"
"LOXL3","extracellular region (GO:0005576)"
"POTEKP","extracellular region (GO:0005576)"
"IGKC","extracellular region (GO:0005576)"
"SLIT2","extracellular region (GO:0005576)"
"FGF21","extracellular region (GO:0005576)"
"FGF20","extracellular region (GO:0005576)"
"TBC1D15","extracellular region (GO:0005576)"
"FGF23","extracellular region (GO:0005576)"
"FGF22","extracellular region (GO:0005576)"
"MUC17","extracellular region (GO:0005576)"
"FGF18","extracellular region (GO:0005576)"
"FGF17","extracellular region (GO:0005576)"
"FGF16","extracellular region (GO:0005576)"
"FGF19","extracellular region (GO:0005576)"
"FGF10","extracellular region (GO:0005576)"
"COL21A1","extracellular region (GO:0005576)"
"GNAS","extracellular region (GO:0005576)"
"MUC20","extracellular region (GO:0005576)"
"FGF14","extracellular region (GO:0005576)"
"MFGE8","extracellular region (GO:0005576)"
"FGF13","extracellular region (GO:0005576)"
"FBN1","extracellular region (GO:0005576)"
"FGF11","extracellular region (GO:0005576)"
"IL7R","extracellular region (GO:0005576)"
"FBN2","extracellular region (GO:0005576)"
"PKDCC","extracellular region (GO:0005576)"
"IGLV","extracellular region (GO:0005576)"
"HTRA4","extracellular region (GO:0005576)"
"HTRA3","extracellular region (GO:0005576)"
"PRO2829","extracellular region (GO:0005576)"
"PLAU","extracellular region (GO:0005576)"
"PLAT","extracellular region (GO:0005576)"
"FAM198A","extracellular region (GO:0005576)"
"GLT1D1","extracellular region (GO:0005576)"
"FAM150B","extracellular region (GO:0005576)"
"FAM150A","extracellular region (GO:0005576)"
"NRTN","extracellular region (GO:0005576)"
"MUC15","extracellular region (GO:0005576)"
"IL6R","extracellular region (GO:0005576)"
"C4ORF48","extracellular region (GO:0005576)"
"C19ORF80","extracellular region (GO:0005576)"
"GH1","extracellular region (GO:0005576)"
"GH2","extracellular region (GO:0005576)"
"P01825","extracellular region (GO:0005576)"
"COL7A1","extracellular region (GO:0005576)"
"P01824","extracellular region (GO:0005576)"
"OXT","extracellular region (GO:0005576)"
"GHR","extracellular region (GO:0005576)"
"P01818","extracellular region (GO:0005576)"
"P01817","extracellular region (GO:0005576)"
"P01816","extracellular region (GO:0005576)"
"P01815","extracellular region (GO:0005576)"
"DHRS7C","extracellular region (GO:0005576)"
"CA6","extracellular region (GO:0005576)"
"P01814","extracellular region (GO:0005576)"
"GIF","extracellular region (GO:0005576)"
"C4ORF29","extracellular region (GO:0005576)"
"C4ORF26","extracellular region (GO:0005576)"
"GIP","extracellular region (GO:0005576)"
"EPOR","extracellular region (GO:0005576)"
"GREM2","extracellular region (GO:0005576)"
"GFOD1","extracellular region (GO:0005576)"
"CRY2","extracellular region (GO:0005576)"
"PTX4","extracellular region (GO:0005576)"
"PTX3","extracellular region (GO:0005576)"
"GALP","extracellular region (GO:0005576)"
"PLEK","extracellular region (GO:0005576)"
"IL1RL1","extracellular region (GO:0005576)"
"P06888","extracellular region (GO:0005576)"
"P06887","extracellular region (GO:0005576)"
"P06889","extracellular region (GO:0005576)"
"CCK","extracellular region (GO:0005576)"
"CFC1","extracellular region (GO:0005576)"
"BPIFC","extracellular region (GO:0005576)"
"CD2","extracellular region (GO:0005576)"
"TEK","extracellular region (GO:0005576)"
"GLA","extracellular region (GO:0005576)"
"DAND5","extracellular region (GO:0005576)"
"CDA","extracellular region (GO:0005576)"
"PRSS2","extracellular region (GO:0005576)"
"PRSS1","extracellular region (GO:0005576)"
"XYLT1","extracellular region (GO:0005576)"
"C14ORF144","extracellular region (GO:0005576)"
"NPIPB15","extracellular region (GO:0005576)"
"APOL6","extracellular region (GO:0005576)"
"APOL5","extracellular region (GO:0005576)"
"PRSS8","extracellular region (GO:0005576)"
"APOL2","extracellular region (GO:0005576)"
"ST3GAL2","extracellular region (GO:0005576)"
"PRSS3","extracellular region (GO:0005576)"
"APOL1","extracellular region (GO:0005576)"
"ST3GAL3","extracellular region (GO:0005576)"
"PROK2","extracellular region (GO:0005576)"
"APOL4","extracellular region (GO:0005576)"
"PROK1","extracellular region (GO:0005576)"
"APOL3","extracellular region (GO:0005576)"
"NDFIP1","extracellular region (GO:0005576)"
"P04206","extracellular region (GO:0005576)"
"P04207","extracellular region (GO:0005576)"
"P04208","extracellular region (GO:0005576)"
"P04209","extracellular region (GO:0005576)"
"CEL","extracellular region (GO:0005576)"
"COL2A1","extracellular region (GO:0005576)"
"BCAN","extracellular region (GO:0005576)"
"TCN2","extracellular region (GO:0005576)"
"TCN1","extracellular region (GO:0005576)"
"PPT1","extracellular region (GO:0005576)"
"PROL1","extracellular region (GO:0005576)"
"P04211","extracellular region (GO:0005576)"
"CFB","extracellular region (GO:0005576)"
"CFD","extracellular region (GO:0005576)"
"CFI","extracellular region (GO:0005576)"
"CFH","extracellular region (GO:0005576)"
"DMP1","extracellular region (GO:0005576)"
"CFP","extracellular region (GO:0005576)"
"LRPAP1","extracellular region (GO:0005576)"
"ADH7","extracellular region (GO:0005576)"
"PLAC9","extracellular region (GO:0005576)"
"PCDHA1","extracellular region (GO:0005576)"
"PLAC1","extracellular region (GO:0005576)"
"PCDHA6","extracellular region (GO:0005576)"
"DHRS4L2","extracellular region (GO:0005576)"
"CGB","extracellular region (GO:0005576)"
"CGA","extracellular region (GO:0005576)"
"INS-IGF2","extracellular region (GO:0005576)"
"CLCF1","extracellular region (GO:0005576)"
"PCYOX1L","extracellular region (GO:0005576)"
"KLKB1","extracellular region (GO:0005576)"
"GAS6","extracellular region (GO:0005576)"
"APOLD1","extracellular region (GO:0005576)"
"COL10A1","extracellular region (GO:0005576)"
"TIMP1","extracellular region (GO:0005576)"
"TIMP2","extracellular region (GO:0005576)"
"IGHA2","extracellular region (GO:0005576)"
"ICOS","extracellular region (GO:0005576)"
"IGHA1","extracellular region (GO:0005576)"
"AHSG","extracellular region (GO:0005576)"
"MTRNR2L10","extracellular region (GO:0005576)"
"ANGPTL7","extracellular region (GO:0005576)"
"ANGPTL4","extracellular region (GO:0005576)"
"PLIN2","extracellular region (GO:0005576)"
"ANGPTL5","extracellular region (GO:0005576)"
"GRP","extracellular region (GO:0005576)"
"ASGR1","extracellular region (GO:0005576)"
"OLFML3","extracellular region (GO:0005576)"
"ADAMTSL5","extracellular region (GO:0005576)"
"OLFML1","extracellular region (GO:0005576)"
"GAST","extracellular region (GO:0005576)"
"GSN","extracellular region (GO:0005576)"
"P01595","extracellular region (GO:0005576)"
"P01594","extracellular region (GO:0005576)"
"BCHE","extracellular region (GO:0005576)"
"P01593","extracellular region (GO:0005576)"
"KERA","extracellular region (GO:0005576)"
"OTOGL","extracellular region (GO:0005576)"
"DEFB108B","extracellular region (GO:0005576)"
"ADM5","extracellular region (GO:0005576)"
"ADM2","extracellular region (GO:0005576)"
"CSPG5","extracellular region (GO:0005576)"
"CSPG4","extracellular region (GO:0005576)"
"PLXNB1","extracellular region (GO:0005576)"
"PF4","extracellular region (GO:0005576)"
"CSF3","extracellular region (GO:0005576)"
"CSF2","extracellular region (GO:0005576)"
"PROS1","extracellular region (GO:0005576)"
"TNC","extracellular region (GO:0005576)"
"CLU","extracellular region (GO:0005576)"
"TNF","extracellular region (GO:0005576)"
"TNR","extracellular region (GO:0005576)"
"C1QL1","extracellular region (GO:0005576)"
"MAP2K2","extracellular region (GO:0005576)"
"C1QL4","extracellular region (GO:0005576)"
"C1QL3","extracellular region (GO:0005576)"
"C1QL2","extracellular region (GO:0005576)"
"PGF","extracellular region (GO:0005576)"
"IFNAR2","extracellular region (GO:0005576)"
"CSH2","extracellular region (GO:0005576)"
"CSH1","extracellular region (GO:0005576)"
"FGF1","extracellular region (GO:0005576)"
"FGF2","extracellular region (GO:0005576)"
"FGF3","extracellular region (GO:0005576)"
"FGF4","extracellular region (GO:0005576)"
"FGF5","extracellular region (GO:0005576)"
"FGF6","extracellular region (GO:0005576)"
"IGHG4","extracellular region (GO:0005576)"
"FGF7","extracellular region (GO:0005576)"
"FGF8","extracellular region (GO:0005576)"
"IGHG2","extracellular region (GO:0005576)"
"FGF9","extracellular region (GO:0005576)"
"IGHG3","extracellular region (GO:0005576)"
"C1QTNF9","extracellular region (GO:0005576)"
"C1QTNF8","extracellular region (GO:0005576)"
"IGHG1","extracellular region (GO:0005576)"
"CLCA2","extracellular region (GO:0005576)"
"CLCA1","extracellular region (GO:0005576)"
"P01599","extracellular region (GO:0005576)"
"P01598","extracellular region (GO:0005576)"
"P01597","extracellular region (GO:0005576)"
"P01596","extracellular region (GO:0005576)"
"ANGPT4","extracellular region (GO:0005576)"
"ANGPT2","extracellular region (GO:0005576)"
"ANGPT1","extracellular region (GO:0005576)"
"XCL1","extracellular region (GO:0005576)"
"AMBP","extracellular region (GO:0005576)"
"APOA2","extracellular region (GO:0005576)"
"APOA5","extracellular region (GO:0005576)"
"APOA4","extracellular region (GO:0005576)"
"MFAP5","extracellular region (GO:0005576)"
"MFAP2","extracellular region (GO:0005576)"
"MFAP1","extracellular region (GO:0005576)"
"MFAP4","extracellular region (GO:0005576)"
"APOA1","extracellular region (GO:0005576)"
"MFAP3","extracellular region (GO:0005576)"
"XCL2","extracellular region (GO:0005576)"
"CPO","extracellular region (GO:0005576)"
"COL14A1","extracellular region (GO:0005576)"
"TRH","extracellular region (GO:0005576)"
"P80362","extracellular region (GO:0005576)"
"CYR61","extracellular region (GO:0005576)"
"KNG1","extracellular region (GO:0005576)"
"PLTP","extracellular region (GO:0005576)"
"LBP","extracellular region (GO:0005576)"
"EMILIN2","extracellular region (GO:0005576)"
"EMILIN1","extracellular region (GO:0005576)"
"CSTL1","extracellular region (GO:0005576)"
"HGFAC","extracellular region (GO:0005576)"
"PLA2G12A","extracellular region (GO:0005576)"
"COL27A1","extracellular region (GO:0005576)"
"CEACAM16","extracellular region (GO:0005576)"
"PLA2G12B","extracellular region (GO:0005576)"
"GFER","extracellular region (GO:0005576)"
"APOC1","extracellular region (GO:0005576)"
"APOC3","extracellular region (GO:0005576)"
"APOC2","extracellular region (GO:0005576)"
"CRH","extracellular region (GO:0005576)"
"TLL2","extracellular region (GO:0005576)"
"TLL1","extracellular region (GO:0005576)"
"NPIPB7","extracellular region (GO:0005576)"
"CRP","extracellular region (GO:0005576)"
"WDR1","extracellular region (GO:0005576)"
"ADPGK","extracellular region (GO:0005576)"
"TULP3","extracellular region (GO:0005576)"
"THSD1","extracellular region (GO:0005576)"
"KIAA0100","extracellular region (GO:0005576)"
"TULP2","extracellular region (GO:0005576)"
"PLG","extracellular region (GO:0005576)"
"TTN","extracellular region (GO:0005576)"
"TULP1","extracellular region (GO:0005576)"
"FCAR","extracellular region (GO:0005576)"
"ADAMTS5","extracellular region (GO:0005576)"
"TTR","extracellular region (GO:0005576)"
"ADAMTS3","extracellular region (GO:0005576)"
"ADAMTS4","extracellular region (GO:0005576)"
"ADAMTS2","extracellular region (GO:0005576)"
"RNPEP","extracellular region (GO:0005576)"
"TUB","extracellular region (GO:0005576)"
"IL1R1","extracellular region (GO:0005576)"
"IL1R2","extracellular region (GO:0005576)"
"OTOP1","extracellular region (GO:0005576)"
"SEPP1","extracellular region (GO:0005576)"
"AZGP1","extracellular region (GO:0005576)"
"KARS","extracellular region (GO:0005576)"
"LEP","extracellular region (GO:0005576)"
"TLN1","extracellular region (GO:0005576)"
"HCG22","extracellular region (GO:0005576)"
"CSN2","extracellular region (GO:0005576)"
"DAG1","extracellular region (GO:0005576)"
"HLA-C","extracellular region (GO:0005576)"
"RAET1E","extracellular region (GO:0005576)"
"CDCP1","extracellular region (GO:0005576)"
"RAET1G","extracellular region (GO:0005576)"
"CDCP2","extracellular region (GO:0005576)"
"ADCK1","extracellular region (GO:0005576)"
"LHB","extracellular region (GO:0005576)"
"C14ORF93","extracellular region (GO:0005576)"
"PPY","extracellular region (GO:0005576)"
"C17ORF67","extracellular region (GO:0005576)"
"IZUMO4","extracellular region (GO:0005576)"
"EDN1","extracellular region (GO:0005576)"
"EDN2","extracellular region (GO:0005576)"
"EDN3","extracellular region (GO:0005576)"
"HEG1","extracellular region (GO:0005576)"
"OTOL1","extracellular region (GO:0005576)"
"TLR9","extracellular region (GO:0005576)"
"VWA7","extracellular region (GO:0005576)"
"VWA8","extracellular region (GO:0005576)"
"COL18A1","extracellular region (GO:0005576)"
"TENM1","extracellular region (GO:0005576)"
"C17ORF77","extracellular region (GO:0005576)"
"C2CD2","extracellular region (GO:0005576)"
"HBB","extracellular region (GO:0005576)"
"PRL","extracellular region (GO:0005576)"
"LIBC","extracellular region (GO:0005576)"
"SPAG11A","extracellular region (GO:0005576)"
"ADIPOQ","extracellular region (GO:0005576)"
"SPAG11B","extracellular region (GO:0005576)"
"PYY2","extracellular region (GO:0005576)"
"PYY3","extracellular region (GO:0005576)"
"CLEC19A","extracellular region (GO:0005576)"
"SLURP1","extracellular region (GO:0005576)"
"MT-RNR2","extracellular region (GO:0005576)"
"F2RL2","extracellular region (GO:0005576)"
"SAA1","extracellular region (GO:0005576)"
"F2RL3","extracellular region (GO:0005576)"
"IFNA6","extracellular region (GO:0005576)"
"C1QC","extracellular region (GO:0005576)"
"IFNA5","extracellular region (GO:0005576)"
"C1QB","extracellular region (GO:0005576)"
"C1QA","extracellular region (GO:0005576)"
"PTH","extracellular region (GO:0005576)"
"IFNA8","extracellular region (GO:0005576)"
"MEGF6","extracellular region (GO:0005576)"
"ORM1","extracellular region (GO:0005576)"
"IFNA7","extracellular region (GO:0005576)"
"IFNA2","extracellular region (GO:0005576)"
"IFNA1","extracellular region (GO:0005576)"
"IFNA4","extracellular region (GO:0005576)"
"FAIM3","extracellular region (GO:0005576)"
"CST9","extracellular region (GO:0005576)"
"CST8","extracellular region (GO:0005576)"
"CST7","extracellular region (GO:0005576)"
"CST5","extracellular region (GO:0005576)"
"CST3","extracellular region (GO:0005576)"
"IFNB1","extracellular region (GO:0005576)"
"LAIR2","extracellular region (GO:0005576)"
"WNT5A","extracellular region (GO:0005576)"
"WNT5B","extracellular region (GO:0005576)"
"VWDE","extracellular region (GO:0005576)"
"PCDHA10","extracellular region (GO:0005576)"
"EMCN","extracellular region (GO:0005576)"
"CAPZA2","extracellular region (GO:0005576)"
"CAPZA1","extracellular region (GO:0005576)"
"FCN1","extracellular region (GO:0005576)"
"TPSB2","extracellular region (GO:0005576)"
"SAA4","extracellular region (GO:0005576)"
"CLEC18C","extracellular region (GO:0005576)"
"VWCE","extracellular region (GO:0005576)"
"FBLN2","extracellular region (GO:0005576)"
"RFNG","extracellular region (GO:0005576)"
"FBLN1","extracellular region (GO:0005576)"
"CNDP1","extracellular region (GO:0005576)"
"UNQ5830","extracellular region (GO:0005576)"
"CLEC18B","extracellular region (GO:0005576)"
"CLEC18A","extracellular region (GO:0005576)"
"FBLN5","extracellular region (GO:0005576)"
"SCUBE3","extracellular region (GO:0005576)"
"COMP","extracellular region (GO:0005576)"
"SCUBE2","extracellular region (GO:0005576)"
"WIF1","extracellular region (GO:0005576)"
"TMPRSS11A","extracellular region (GO:0005576)"
"WNT3A","extracellular region (GO:0005576)"
"HGF","extracellular region (GO:0005576)"
"TMPRSS11F","extracellular region (GO:0005576)"
"TMPRSS11D","extracellular region (GO:0005576)"
"TMPRSS11E","extracellular region (GO:0005576)"
"EFNA4","extracellular region (GO:0005576)"
"COL6A1","extracellular region (GO:0005576)"
"LOX","extracellular region (GO:0005576)"
